code,xmlPath,importanceRank,stdev
WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_02,,249,40554
X0195,HPXML.Building.BuildingDetails.Systems.HVAC.HVACControl.extension.SetbackStartHourHeating,250,34179
WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_11,,251,31072
WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_01,,252,27702
X5241,HPXML.Building.BuildingDetails.Systems.HVAC.HVACPlant[HVACPlant1].HeatPump[ASHP1].AnnualCoolingEfficiency.Value,253,24837
X3807,HPXML.Building.BuildingDetails.Enclosure.Walls.Wall[WallExposed1].Insulation.AssemblyEffectiveRValue,254,24768
X0177,HPXML.Building.BuildingDetails.Enclosure.AirInfiltration.AirInfiltrationMeasurement.BuildingAirLeakage.AirLeakage,255,23833
X2677,HPXML.Building.BuildingDetails.Enclosure.RimJoists.RimJoist[RimJoistStory2Exposed].Insulation.AssemblyEffectiveRValue,256,23564
X5727,HPXML.Building.BuildingDetails.Systems.HVAC.HVACPlant[HVACPlant1].HeatPump[MiniSplitHP1].AnnualCoolingEfficiency.Value,257,23564
WEATHER_DIFFUSE_SOLAR_RADIATION_AVG_12,,258,22852
WEATHER_WIND_SPEED_AVG_05,,259,21588
WEATHER_WIND_SPEED_AVG_06,,260,21547
WEATHER_WIND_SPEED_AVG_07,,261,21417
WEATHER_WIND_SPEED_AVG_03,,262,21072
WEATHER_DIFFUSE_SOLAR_RADIATION_MAX_01,,263,20464
WEATHER_WIND_SPEED_MAX_03,,264,20454
WEATHER_WIND_SPEED_MAX_06,,265,20454
WEATHER_WIND_SPEED_MAX_12,,266,20454
WEATHER_WIND_SPEED_MAX_04,,267,20454
WEATHER_WIND_SPEED_MAX_10,,268,20454
WEATHER_WIND_SPEED_MAX_01,,269,20454
WEATHER_WIND_SPEED_MAX_09,,270,20454
WEATHER_WIND_SPEED_MAX_08,,271,20454
WEATHER_WIND_SPEED_MAX_02,,272,20454
WEATHER_WIND_SPEED_AVG_04,,273,20325
WEATHER_WIND_SPEED_MAX_05,,274,20200
X5277,HPXML.Building.BuildingDetails.Systems.HVAC.HVACPlant[HVACPlant1].HeatPump[ASHP1].AnnualHeatingEfficiency.Value,275,19774
WEATHER_WIND_SPEED_AVG_08,,276,19473
WEATHER_WIND_SPEED_AVG_09,,277,19340
WEATHER_WIND_SPEED_AVG_12,,278,19048
X4605,HPXML.Building.BuildingDetails.Systems.HVAC.HVACPlant[HVACPlant1].CoolingSystem[CentralAirConditioner1].AnnualCoolingEfficiency.Value,279,19016
WEATHER_WIND_SPEED_AVG_01,,280,16719
WEATHER_WIND_SPEED_AVG_02,,281,16204
WEATHER_WIND_SPEED_AVG_10,,282,16084
X5763,HPXML.Building.BuildingDetails.Systems.HVAC.HVACPlant[HVACPlant1].HeatPump[MiniSplitHP1].AnnualHeatingEfficiency.Value,283,15317
WEATHER_WIND_SPEED_AVG_11,,284,13641
X0196,HPXML.Building.BuildingDetails.Systems.HVAC.HVACControl.extension.SetupStartHourCooling,285,12954
X0373,HPXML.Building.BuildingDetails.Enclosure.FoundationWalls.FoundationWall[FoundationWallBasementConditionedExposed1].Height,286,11439
X1033,HPXML.Building.BuildingDetails.Enclosure.FoundationWalls.FoundationWall[FoundationWallCrawlspaceVentedExposed1].Thickness,287,11439
X0844,HPXML.Building.BuildingDetails.Enclosure.FoundationWalls.FoundationWall[FoundationWallBasementConditionedToCrawlVented1].Thickness,288,11439
X0466,HPXML.Building.BuildingDetails.Enclosure.FoundationWalls.FoundationWall[FoundationWallBasementConditionedExposed1].Thickness,289,11439
X0283,HPXML.Building.BuildingDetails.Enclosure.FoundationWalls.FoundationWall[FoundationWallBasementConditionedExposed1].DepthBelowGrade,290,9925
X0155,HPXML.Building.BuildingDetails.BuildingSummary.BuildingOccupancy.NumberofResidents,291,9666
X0000,HPXML.Building.BuildingDetails.Appliances.ClothesDryer.CombinedEnergyFactor,292,8342
X0140,HPXML.Building.BuildingDetails.BuildingSummary.BuildingConstruction.NumberofBedrooms,293,7562
X0139,HPXML.Building.BuildingDetails.BuildingSummary.BuildingConstruction.NumberofBathrooms,294,5576
X7509,HPXML.Building.BuildingDetails.Systems.WaterHeating.WaterHeatingSystem[WaterHeater1].EnergyFactor,295,5557
X3549,HPXML.Building.BuildingDetails.Enclosure.Slabs.Slab[SlabOnGrade1].Thickness,296,5392
X2678,HPXML.Building.BuildingDetails.Enclosure.RimJoists.RimJoist[RimJoistStory3Exposed].Insulation.AssemblyEffectiveRValue,297,5392
X3408,HPXML.Building.BuildingDetails.Enclosure.Slabs.Slab[SlabOfBasementConditioned1].Thickness,298,5392
X0940,HPXML.Building.BuildingDetails.Enclosure.FoundationWalls.FoundationWall[FoundationWallCrawlspaceVentedExposed1].Height,299,5392
X0751,HPXML.Building.BuildingDetails.Enclosure.FoundationWalls.FoundationWall[FoundationWallBasementConditionedToCrawlVented1].Height,300,5392
X0142,HPXML.Building.BuildingDetails.BuildingSummary.BuildingConstruction.NumberofConditionedFloorsAboveGrade,301,4084
X0141,HPXML.Building.BuildingDetails.BuildingSummary.BuildingConstruction.NumberofConditionedFloors,302,4084
X1507,HPXML.Building.BuildingDetails.Enclosure.FrameFloors.FrameFloor[FloorAboveVentedCrawl1].Insulation.AssemblyEffectiveRValue,303,4040
X4542,HPXML.Building.BuildingDetails.Systems.HVAC.HVACDistribution[HVACDistributionAir1].DistributionSystemType.AirDistribution.NumberofReturnRegisters,304,3891
X0850,HPXML.Building.BuildingDetails.Enclosure.FoundationWalls.FoundationWall[FoundationWallCrawlspaceVentedExposed1].DepthBelowGrade,305,3891
X0661,HPXML.Building.BuildingDetails.Enclosure.FoundationWalls.FoundationWall[FoundationWallBasementConditionedToCrawlVented1].DepthBelowGrade,306,3891
X3432,HPXML.Building.BuildingDetails.Enclosure.Slabs.Slab[SlabOfBasementConditioned1].extension.CarpetRValue,307,2408
X5685,HPXML.Building.BuildingDetails.Systems.HVAC.HVACPlant[HVACPlant1].HeatPump[MiniSplitHP1].AnnualCoolingEfficiency.Units,308,1601
X5805,HPXML.Building.BuildingDetails.Systems.HVAC.HVACPlant[HVACPlant1].HeatPump[MiniSplitHP1].BackupSystemFuel,309,1601
X4452,HPXML.Building.BuildingDetails.Systems.HVAC.HVACDistribution[HVACDistributionAir1].DistributionSystemType.AirDistribution.DuctLeakageMeasurement[HVACDistributionAir1Supply].DuctLeakage.TotalOrToOutside,310,1601
X4441,HPXML.Building.BuildingDetails.Systems.HVAC.HVACDistribution[HVACDistributionAir1].DistributionSystemType.AirDistribution.DuctLeakageMeasurement[HVACDistributionAir1Return].DuctType,311,1601
X4413,HPXML.Building.BuildingDetails.Systems.HVAC.HVACDistribution[HVACDistributionAir1].DistributionSystemType.AirDistribution.DuctLeakageMeasurement[HVACDistributionAir1Return].DuctLeakage.Units,312,1601
X4398,HPXML.Building.BuildingDetails.Systems.HVAC.HVACDistribution[HVACDistributionAir1].DistributionSystemType.AirDistribution.DuctLeakageMeasurement[HVACDistributionAir1Return].DuctLeakage.TotalOrToOutside,313,1601
X4389,HPXML.Building.BuildingDetails.Systems.HVAC.HVACDistribution[HVACDistributionAir1].DistributionSystemType.AirDistribution.AirDistributionType,314,1601
X0094,HPXML.Building.BuildingDetails.Appliances.CookingRange.FuelType,315,1601
X5799,HPXML.Building.BuildingDetails.Systems.HVAC.HVACPlant[HVACPlant1].HeatPump[MiniSplitHP1].BackupAnnualHeatingEfficiency.Value,316,1601
