inputVectorIndex,inputCode,xmlPath,label,categoricalValue,isActionable,isRelevant,units,decimals,displayPrecision,importanceRank,stdev
112,WEATHER_DRYBULB_TEMPERATURE_MAX_05,WEATHER_DRYBULB_TEMPERATURE_MAX_05,,,FALSE,FALSE,,,,,
113,WEATHER_DRYBULB_TEMPERATURE_MAX_06,WEATHER_DRYBULB_TEMPERATURE_MAX_06,,,FALSE,FALSE,,,,,
114,WEATHER_DRYBULB_TEMPERATURE_MAX_07,WEATHER_DRYBULB_TEMPERATURE_MAX_07,,,FALSE,FALSE,,,,,
115,WEATHER_DRYBULB_TEMPERATURE_MAX_08,WEATHER_DRYBULB_TEMPERATURE_MAX_08,,,FALSE,FALSE,,,,,
116,WEATHER_DRYBULB_TEMPERATURE_MAX_09,WEATHER_DRYBULB_TEMPERATURE_MAX_09,,,FALSE,FALSE,,,,,
117,WEATHER_DRYBULB_TEMPERATURE_MAX_10,WEATHER_DRYBULB_TEMPERATURE_MAX_10,,,FALSE,FALSE,,,,,
118,WEATHER_DRYBULB_TEMPERATURE_MAX_11,WEATHER_DRYBULB_TEMPERATURE_MAX_11,,,FALSE,FALSE,,,,,
119,WEATHER_DRYBULB_TEMPERATURE_MAX_12,WEATHER_DRYBULB_TEMPERATURE_MAX_12,,,FALSE,FALSE,,,,,
120,WEATHER_DRYBULB_TEMPERATURE_MIN_01,WEATHER_DRYBULB_TEMPERATURE_MIN_01,,,FALSE,FALSE,,,,,
121,WEATHER_DRYBULB_TEMPERATURE_MIN_02,WEATHER_DRYBULB_TEMPERATURE_MIN_02,,,FALSE,FALSE,,,,,
122,WEATHER_DRYBULB_TEMPERATURE_MIN_03,WEATHER_DRYBULB_TEMPERATURE_MIN_03,,,FALSE,FALSE,,,,,
123,WEATHER_DRYBULB_TEMPERATURE_MIN_04,WEATHER_DRYBULB_TEMPERATURE_MIN_04,,,FALSE,FALSE,,,,,
124,WEATHER_DRYBULB_TEMPERATURE_MIN_05,WEATHER_DRYBULB_TEMPERATURE_MIN_05,,,FALSE,FALSE,,,,,
125,WEATHER_DRYBULB_TEMPERATURE_MIN_06,WEATHER_DRYBULB_TEMPERATURE_MIN_06,,,FALSE,FALSE,,,,,
126,WEATHER_DRYBULB_TEMPERATURE_MIN_07,WEATHER_DRYBULB_TEMPERATURE_MIN_07,,,FALSE,FALSE,,,,,
127,WEATHER_DRYBULB_TEMPERATURE_MIN_08,WEATHER_DRYBULB_TEMPERATURE_MIN_08,,,FALSE,FALSE,,,,,
128,WEATHER_DRYBULB_TEMPERATURE_MIN_09,WEATHER_DRYBULB_TEMPERATURE_MIN_09,,,FALSE,FALSE,,,,,
129,WEATHER_DRYBULB_TEMPERATURE_MIN_10,WEATHER_DRYBULB_TEMPERATURE_MIN_10,,,FALSE,FALSE,,,,,
130,WEATHER_DRYBULB_TEMPERATURE_MIN_11,WEATHER_DRYBULB_TEMPERATURE_MIN_11,,,FALSE,FALSE,,,,,
131,WEATHER_DRYBULB_TEMPERATURE_MIN_12,WEATHER_DRYBULB_TEMPERATURE_MIN_12,,,FALSE,FALSE,,,,,
132,WEATHER_DRYBULB_TEMPERATURE_VAR_01,WEATHER_DRYBULB_TEMPERATURE_VAR_01,,,FALSE,FALSE,,,,,
133,WEATHER_DRYBULB_TEMPERATURE_VAR_02,WEATHER_DRYBULB_TEMPERATURE_VAR_02,,,FALSE,FALSE,,,,,
134,WEATHER_DRYBULB_TEMPERATURE_VAR_03,WEATHER_DRYBULB_TEMPERATURE_VAR_03,,,FALSE,FALSE,,,,,
135,WEATHER_DRYBULB_TEMPERATURE_VAR_04,WEATHER_DRYBULB_TEMPERATURE_VAR_04,,,FALSE,FALSE,,,,,
136,WEATHER_DRYBULB_TEMPERATURE_VAR_05,WEATHER_DRYBULB_TEMPERATURE_VAR_05,,,FALSE,FALSE,,,,,
137,WEATHER_DRYBULB_TEMPERATURE_VAR_06,WEATHER_DRYBULB_TEMPERATURE_VAR_06,,,FALSE,FALSE,,,,,
138,WEATHER_DRYBULB_TEMPERATURE_VAR_07,WEATHER_DRYBULB_TEMPERATURE_VAR_07,,,FALSE,FALSE,,,,,
139,WEATHER_DRYBULB_TEMPERATURE_VAR_08,WEATHER_DRYBULB_TEMPERATURE_VAR_08,,,FALSE,FALSE,,,,,
140,WEATHER_DRYBULB_TEMPERATURE_VAR_09,WEATHER_DRYBULB_TEMPERATURE_VAR_09,,,FALSE,FALSE,,,,,
141,WEATHER_DRYBULB_TEMPERATURE_VAR_10,WEATHER_DRYBULB_TEMPERATURE_VAR_10,,,FALSE,FALSE,,,,,
142,WEATHER_DRYBULB_TEMPERATURE_VAR_11,WEATHER_DRYBULB_TEMPERATURE_VAR_11,,,FALSE,FALSE,,,,,
143,WEATHER_DRYBULB_TEMPERATURE_VAR_12,WEATHER_DRYBULB_TEMPERATURE_VAR_12,,,FALSE,FALSE,,,,,
144,WEATHER_RELATIVE_HUMIDITY_AVG_01,WEATHER_RELATIVE_HUMIDITY_AVG_01,,,FALSE,FALSE,,,,,
145,WEATHER_RELATIVE_HUMIDITY_AVG_02,WEATHER_RELATIVE_HUMIDITY_AVG_02,,,FALSE,FALSE,,,,,
146,WEATHER_RELATIVE_HUMIDITY_AVG_03,WEATHER_RELATIVE_HUMIDITY_AVG_03,,,FALSE,FALSE,,,,,
147,WEATHER_RELATIVE_HUMIDITY_AVG_04,WEATHER_RELATIVE_HUMIDITY_AVG_04,,,FALSE,FALSE,,,,,
148,WEATHER_RELATIVE_HUMIDITY_AVG_05,WEATHER_RELATIVE_HUMIDITY_AVG_05,,,FALSE,FALSE,,,,,
149,WEATHER_RELATIVE_HUMIDITY_AVG_06,WEATHER_RELATIVE_HUMIDITY_AVG_06,,,FALSE,FALSE,,,,,
150,WEATHER_RELATIVE_HUMIDITY_AVG_07,WEATHER_RELATIVE_HUMIDITY_AVG_07,,,FALSE,FALSE,,,,,
151,WEATHER_RELATIVE_HUMIDITY_AVG_08,WEATHER_RELATIVE_HUMIDITY_AVG_08,,,FALSE,FALSE,,,,,
152,WEATHER_RELATIVE_HUMIDITY_AVG_09,WEATHER_RELATIVE_HUMIDITY_AVG_09,,,FALSE,FALSE,,,,,
153,WEATHER_RELATIVE_HUMIDITY_AVG_10,WEATHER_RELATIVE_HUMIDITY_AVG_10,,,FALSE,FALSE,,,,,
154,WEATHER_RELATIVE_HUMIDITY_AVG_11,WEATHER_RELATIVE_HUMIDITY_AVG_11,,,FALSE,FALSE,,,,,
155,WEATHER_RELATIVE_HUMIDITY_AVG_12,WEATHER_RELATIVE_HUMIDITY_AVG_12,,,FALSE,FALSE,,,,,
